title,author,url,status,date
Every Day is for the Thief,Teju Cole,http://www.amazon.es/gp/product/0571307949/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=0571307949&linkCode=as2&tag=ctbs-21,done reading,22/12/14
Meditations,Marcus Aurelius,http://www.amazon.es/gp/product/0679642609/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=0679642609&linkCode=as2&tag=ctbs-21,reading,
Niebla,Miguel de Unamuno,http://www.amazon.es/gp/product/8437603471/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=8437603471&linkCode=as2&tag=ctbs-21,done reading,
La Edad de Oro,Jose Marti,http://www.amazon.es/gp/product/1468197843/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=1468197843&linkCode=as2&tag=ctbs-21,on the shelf,
Pasajes de la Guerra Revolucionaria,Ernesto Che Guevara,http://www.amazon.es/gp/product/B00J1JQ3IY/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=B00J1JQ3IY&linkCode=as2&tag=ctbs-21,on the shelf,
Del Sentimiento Tragico de la Vida,Miguel de Unamuno,http://www.amazon.es/gp/product/8467037229/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=8467037229&linkCode=as2&tag=ctbs-21,on the shelf,
El Quadern Gris*,Josep Pla,http://www.amazon.es/gp/product/8499307787/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=8499307787&linkCode=as2&tag=ctbs-21,on the shelf,
On China*,Henry Kissinger,http://www.amazon.es/gp/product/B0046ECJBY/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=B0046ECJBY&linkCode=as2&tag=ctbs-21,on the shelf,
Transperceneige,Jean Marc Rochette,http://www.amazon.es/gp/product/2203088052/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=2203088052&linkCode=as2&tag=ctbs-21,reading,
Acquired Tastes,Peter Mayle,http://www.amazon.es/gp/product/0553371835/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=0553371835&linkCode=as2&tag=ctbs-21,done reading,
Les lleis del Castell,Carles Casajuana,http://www.amazon.es/gp/product/8498093120/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=8498093120&linkCode=as2&tag=ctbs-21,done reading,
"Without You, There Is No Us",Kim Suki,http://www.amazon.es/gp/product/0307720659/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=0307720659&linkCode=as2&tag=ctbs-21,done reading,
Scarcity,Sendhil Mullainathan and Eldar Shafir,http://www.amazon.es/gp/product/125005611X/ref=as_li_ss_tl?ie=UTF8&camp=3626&creative=24822&creativeASIN=125005611X&linkCode=as2&tag=ctbs-21,on the shelf,
How Much is Enough?,Robert Skidelsky and Edward Skidelsky,http://amzn.to/1IVRE3b,on the shelf,
The Nicomachean Ethics,Aristotle,http://amzn.to/1LwJzSm,reading,
